label,champ_0,role_0,rank_0,spell1_0,spell2_0,rune1_0,rune2_0,mastery_0,champ_1,role_1,rank_1,spell1_1,spell2_1,rune1_1,rune2_1,mastery_1,champ_2,role_2,rank_2,spell1_2,spell2_2,rune1_2,rune2_2,mastery_2,champ_3,role_3,rank_3,spell1_3,spell2_3,rune1_3,rune2_3,mastery_3,champ_4,role_4,rank_4,spell1_4,spell2_4,rune1_4,rune2_4,mastery_4,champ_5,role_5,rank_5,spell1_5,spell2_5,rune1_5,rune2_5,mastery_5,champ_6,role_6,rank_6,spell1_6,spell2_6,rune1_6,rune2_6,mastery_6,champ_7,role_7,rank_7,spell1_7,spell2_7,rune1_7,rune2_7,mastery_7,champ_8,role_8,rank_8,spell1_8,spell2_8,rune1_8,rune2_8,mastery_8,champ_9,role_9,rank_9,spell1_9,spell2_9,rune1_9,rune2_9,mastery_9
0,82,0,4,12,14,9923,8400,203675,254,1,5,4,11,9923,8000,157549,950,2,1,14,4,9923,8300,3035,429,3,4,4,3,8008,8100,2135303,16,4,8,7,6,8465,8300,17159,83,0,4,12,4,8229,8300,18721,24,1,5,4,11,8010,8400,48248,103,2,5,14,4,8112,8200,11205,21,3,5,21,4,8369,8200,180414,800,4,0,4,7,8128,8200,8953
0,904,0,4,4,12,8010,8400,52854,876,1,2,11,4,8010,8300,165419,136,2,0,4,12,8229,8400,36296,21,3,4,4,21,8005,8300,112427,111,4,12,4,14,8439,8300,875,67,0,3,14,4,8005,8400,27325,11,1,4,11,4,8008,8100,264783,800,2,6,14,4,8128,8200,60487,901,3,7,4,21,8021,8200,10307,555,4,5,14,4,9923,8400,5954
0,54,0,3,4,12,8229,8300,288796,234,1,2,11,4,8010,8300,63733,518,2,9,4,14,8112,8200,3113935,51,3,3,4,21,8021,8200,595948,22,4,1,7,4,9923,8300,572,41,0,7,4,14,8369,8000,92580,11,1,7,4,11,8008,8300,9528,45,2,0,4,12,8229,8400,9669,103,3,3,12,14,8112,8300,190568,875,4,10,4,3,8437,8000,68641
0,86,0,0,12,4,8010,8200,125798,25,1,10,11,4,8128,8300,145513,950,2,4,14,4,8112,8000,169137,202,3,3,12,4,8021,8200,15586,350,4,13,3,14,8229,8000,12884,223,0,4,12,4,8437,8000,16828,20,1,3,4,11,8230,8000,118474,157,2,8,4,12,8008,8400,236898,222,3,3,4,12,8005,8200,629036,57,4,5,14,4,8439,8300,54627
0,23,0,7,6,4,8008,8400,309707,36,1,5,11,6,8021,8300,26345,1,2,0,4,12,8112,8200,6848,18,3,3,7,4,8008,8200,127590,37,4,4,4,12,8214,8300,101688,75,0,4,6,12,8021,8400,66655,106,1,4,4,11,8008,8300,374824,54,2,3,14,4,8229,8400,282822,21,3,5,4,21,8005,8200,2833610,103,4,5,4,14,8112,8000,1054668
0,31,0,7,14,4,8437,8000,271959,20,1,6,4,11,8128,8200,271611,517,2,2,12,4,8112,8200,186436,51,3,7,21,4,8369,8200,21715,53,4,6,4,14,8351,8200,52733,17,0,0,4,14,8005,8400,113762,427,1,5,4,11,8214,8300,27273,80,2,7,12,4,8010,8100,24499,86,3,4,12,4,8010,8400,149945,267,4,7,4,14,8214,8400,385358
1,24,0,8,14,4,8008,8400,129442,233,1,0,11,4,8005,8100,6944,17,2,4,4,12,8128,8200,789647,22,3,6,4,21,8008,8300,87447,37,4,8,4,7,8214,8400,14660,110,0,5,4,21,8005,8400,40912,20,1,10,11,4,8230,8000,62978,84,2,4,4,21,8112,8200,14486,96,3,6,4,21,8008,8400,836242,63,4,4,14,4,8128,8000,20120
1,6,0,3,4,14,8005,8300,13422,107,1,4,11,4,8112,8000,40338,161,2,3,4,12,8229,8100,7536,29,3,4,4,7,8008,8100,674708,54,4,7,7,12,8437,8200,10582137,23,0,5,6,4,8437,8000,44876,233,1,4,11,4,8437,8000,39413,800,2,0,4,12,8229,8100,40851,202,3,2,4,12,9923,8000,31743,50,4,5,4,14,8112,8000,1721777
0,420,0,3,4,12,8437,8000,59330,91,1,18,14,11,8112,8300,92967,99,2,10,12,4,8229,8100,267770,21,3,8,4,12,8005,8100,205398,350,4,0,3,14,9923,8000,138135,86,0,12,4,14,8230,8400,45357,32,1,3,4,11,8010,8100,459692,43,2,13,4,14,8229,8400,1777184,235,3,13,4,7,8005,8200,140228,25,4,9,4,14,8229,8100,368609
0,875,0,5,4,12,8437,8000,31894,24,1,6,11,4,8008,8300,314935,99,2,3,14,4,8229,8100,298891,202,3,3,21,4,8021,8200,335176,12,4,7,4,14,8360,8400,629933,31,0,3,4,12,8437,8300,45952,33,1,3,11,4,8439,8000,59059,90,2,12,12,4,8229,8300,172774,21,3,0,4,21,8369,8200,18077,350,4,8,3,7,8229,8000,33592
